_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
651fe2054cb4fabb7daac2ac||120.99|95.47|128.99|80.15|605,11,0,4|time|60||32|60|0|186.89|false|false|english|none|normal|false|false|false||1696588285116
651fae2a4cb4fabb7d3be6d4||120.39|95.41|126.59|72.79|602,5,1,3|time|60|-1|20|60|0|143.83|false|false|english|none|normal|false|false|false||1696575018000
651ecbb94cb4fabb7d5a77d4||120.17|95.65|127.17|75.18|601,13,1,4|time|60|-1|7|60.02|0|34.38|false|false|english|none|normal|false|false|false||1696517049000
651ecb484cb4fabb7d5a7137||119.58|95.07|128.77|76.04|598,18,1,2|time|60|-1|10|60.01|0|91.69|false|false|english|none|normal|false|false|false||1696516936000
651eb5cd4cb4fabb7d2d9ac2||123.79|94.86|129.39|77.37|619,13,3,2|time|60|-1|13|60|0|141.44|false|false|english|none|normal|false|false|false||1696511437000
651eb4804cb4fabb7d2d8a59||122.98|96.35|129.58|78.42|615,11,1,1|time|60|-1|17|60.01|0|163.12|false|false|english|none|normal|false|false|false||1696511104000
651e9db24cb4fabb7df9a4b4||125.78|97.7|128.58|77.44|629,4,0,2|time|60|-1|4|60.01|0|31.6|false|false|english|none|normal|false|false|false||1696505266000
651e8fc34cb4fabb7ddc1945||122.59|96.35|129.19|80.81|613,9,0,0|time|60|-1|5|60|0|23.88|false|false|english|none|normal|false|false|false||1696501699000
651e72164cb4fabb7da0fdb0||126.79|97.44|130.59|78.81|634,4,0,1|time|60|-1|10|60|0|109.95|false|false|english|none|normal|false|false|false||1696494102000
651e524a4cb4fabb7d5e904f||121.59|96.15|126.39|79.01|608,5,1,2|time|60|-1|7|60.01|0|30.26|false|false|english|none|normal|false|false|false||1696485962000
651d33944cb4fabb7dff825e|true|130.17|96.77|133.36|77.66|651,6,0,0|time|60|-1|8|60.02|0|29.05|false|false|english|none|normal|false|false|false||1696412564000
651d33234cb4fabb7dff7eb5||121.59|95.73|128.79|76.99|608,8,1,3|time|60|-1|33|60|0|178.98|false|false|english|none|normal|false|false|false||1696412451000
651c17ac4cb4fabb7db00fe6||121.77|94.2|132.77|80.86|609,18,3,1|time|60|-1|3|60.01|0|12.8|false|false|english|none|normal|false|false|false||1696339884000
651c17404cb4fabb7da8c6d6||121.59|95.92|129.59|77.74|608,7,0,7|time|60|-1|24|60|0|106.44|false|false|english|none|normal|false|false|false||1696339776000
651b7ed64cb4fabb7d6bcf58||109.39|94.29|121.19|78.85|547,18,1,1|time|60|-1|11|60|0|59.96|false|false|english|none|normal|false|false|false||1696300758000
651b71c34cb4fabb7d4e6c5f||119.97|96.68|124.37|78.95|600,6,1,1|time|60|-1|7|60.02|0|73.5|false|false|english|none|normal|false|false|false||1696297411000
651af4ec4cb4fabb7d4c08c9||117.57|95.75|125.37|76.58|588,7,6,2|time|60|-1|16|60.01|0|146.71|false|false|english|none|normal|false|false|false||1696265452000
651a654836bd0a3b023c7a60||118.79|97.1|121.79|80.51|594,5,0,0|time|60|-1|3|60.01|0|23.37|false|false|english|none|normal|false|false|false||1696228680000
651a624a36bd0a3b02352282||109.77|93.77|121.57|71.02|549,11,1,7|time|60|-1|12|60.02|0|39.82|false|false|english|none|normal|false|false|false||1696227914000
651a61b736bd0a3b02351e12||112.98|94.94|116.38|74.98|565,5,1,2|time|60|-1|12|60.01|0|62.71|false|false|english|none|normal|false|false|false||1696227767000
651a1b6f36bd0a3b02a245ab||122.99|97.5|127.19|77.97|615,6,1,2|time|60|-1|20|60.01|0|179.39|false|false|english|none|normal|false|false|false||1696209775000
6519589036bd0a3b020e2a6c||119.98|96.71|126.17|81.35|600,9,2,1|time|60|-1|17|60.01|0|102.34|false|false|english|none|normal|false|false|false||1696159888000
6519517136bd0a3b02ff79dd||123.38|95.32|136.18|76.24|617,18,2,1|time|60|-1|0|60.01|0|0|false|false|english|none|normal|false|false|false||1696158065000
6518f37c36bd0a3b023981e5||111.98|93.34|123.58|77.53|560,17,7,1|time|60|-1|8|60.01|0|114.34|false|false|english|none|normal|false|false|false||1696134012000
6518f2c036bd0a3b02397d50||112.99|94.61|120.99|76.81|565,16,2,2|time|60|-1|7|60|0|52.23|false|false|english|none|normal|false|false|false||1696133824000
6518637236bd0a3b020d5389||117.59|93.85|130.79|77.54|588,18,2,2|time|60|-1|10|60.01|0|86.66|false|false|english|none|normal|false|false|false||1696097138000
651862ce36bd0a3b020d4eb2||119.79|95.74|129.99|79.15|599,11,1,5|time|60|-1|48|60|0|285.87|false|false|english|none|normal|false|false|false||1696096974000
6518389336bd0a3b02b50d34||125.59|95.51|136.79|80.68|628,15,0,4|time|60|-1|7|60|0|94.85|false|false|english|none|normal|false|false|false||1696086163000
651837c036bd0a3b02adc7d0||115.79|93.48|123.99|75.77|579,14,1,2|time|60|-1|15|60|0|85.82|false|false|english|none|normal|false|false|false||1696085952000
6518371136bd0a3b02adc254||122.79|94.59|130.79|77.47|614,14,3,9|time|60|-1|22|60.01|0|156.73|false|false|english|none|normal|false|false|false||1696085777000
6518156a36bd0a3b026b8623||118.57|94.77|127.77|78.54|593,15,2,3|time|60|-1|56|60.02|0|403.91|false|false|english|none|normal|false|false|false||1696077162000
6518071c36bd0a3b024e291b||123.19|94.2|136.19|79.7|616,21,1,5|time|60|-1|103|60|0|525.61|false|false|english|none|normal|false|false|false||1696073500000
6517f66736bd0a3b02298850||121.99|95.84|133.79|78.04|610,14,2,1|time|60|-1|15|60|0|97.45|false|false|english|none|normal|false|false|false||1696069223000
6517f14e36bd0a3b021aec81||116.58|94.18|127.78|75.28|583,15,1,3|time|60|-1|12|60.01|0|34.5|false|false|english|none|normal|false|false|false||1696067918000
6517f0dd36bd0a3b021ae9e2||117.99|93.53|130.19|78.57|590,21,2,5|time|60|-1|10|60.01|0|85.08|false|false|english|none|normal|false|false|false||1696067805000
6517e63f36bd0a3b0204ee0a||114.78|94.5|124.18|79.1|574,16,1,1|time|60|-1|33|60.01|0|224.46|false|false|english|none|normal|false|false|false||1696065087000
651561a336bd0a3b02c328e9||120.16|94.99|130.36|79.68|601,15,2,2|time|60|-1|26|60.02|0|204.65|false|false|english|none|normal|false|false|false||1695900067000
65150e1d36bd0a3b02134143||115.77|94.94|122.37|76.52|579,6,4,0|time|60|-1|7|60.01|0|41.9|false|false|english|none|normal|false|false|false||1695878685000
65150d5736bd0a3b02133b54||122.19|95.61|129.99|79.27|611,13,0,2|time|60|-1|3|60|0|40.75|false|false|english|none|normal|false|false|false||1695878487000
65150cc636bd0a3b021336c7||125.98|96.85|132.38|81.7|630,10,1,0|time|60|-1|3|60.01|0|14.09|false|false|english|none|normal|false|false|false||1695878342000
65145fce36bd0a3b02abdc02||114.57|95.1|125.37|77.74|573,12,4,2|time|60|-1|7|60.02|0|69.83|false|false|english|none|normal|false|false|false||1695834062000
65145de936bd0a3b02a48a7a||127.17|97.59|131.37|79.54|636,5,0,4|time|60|-1|32|60.02|0|382.6|false|false|english|none|normal|false|false|false||1695833577000
651445f936bd0a3b0270bdfb||118.99|95.36|127.39|78.25|595,11,1,2|time|60|-1|40|60|0|300.58|false|false|english|none|normal|false|false|false||1695827449000
651422e136bd0a3b0226bd12||119.79|94.65|129.19|79.71|599,18,2,1|time|60|-1|8|60.01|0|79.64|false|false|english|none|normal|false|false|false||1695818465000
6513065357fd4d7aac80c118||119.4|94.62|127.8|75.4|597,15,2,1|time|60|-1|19|60|0|89.58|false|false|english|none|normal|false|false|false||1695745619000
651304c957fd4d7aac80ac0c||121.99|95.85|127.79|78.61|610,9,1,6|time|60|-1|5|60.01|0|20.76|false|false|english|none|normal|false|false|false||1695745225000
6512994e57fd4d7aac9ca427||122.76|96.7|132.16|79.41|614,11,0,1|time|60|-1|15|60.02|0|145|false|false|english|none|normal|false|false|false||1695717710000
6512978b57fd4d7aac9c970e||113.79|94.15|124.39|76.18|569,17,1,5|time|60|-1|28|60.01|0|299.92|false|false|english|none|normal|false|false|false||1695717259000
651242a957fd4d7aaced3bef||109.99|94.83|117.19|75.03|550,8,3,0|time|60|-1|24|60|0|179.97|false|false|english|none|normal|false|false|false||1695695529000
651240b557fd4d7aace5fa45||119.78|95.24|128.37|76.45|599,8,7,3|time|60|-1|4|60.01|0|17.41|false|false|english|none|normal|false|false|false||1695695029000
6512360b57fd4d7aacd011b6||118.19|96.36|124.19|77.24|591,8,0,1|time|60|-1|16|60|0|96.7|false|false|english|none|normal|false|false|false||1695692299000
6511b3bb57fd4d7aacc0e0d5||119.99|95.25|129.78|79.52|600,14,4,3|time|60|-1|21|60.01|0|141.56|false|false|english|none|normal|false|false|false||1695658939000
6511b01057fd4d7aacb97caa||127.38|96.59|133.58|75.9|637,8,3,2|time|60|-1|19|60.01|0|154.96|false|false|english|none|normal|false|false|false||1695658000000
6511ae9357fd4d7aacb5cf0c||118.78|95.73|124.78|77.01|594,11,3,0|time|60|-1|9|60.01|0|76.29|false|false|english|none|normal|false|false|false||1695657619000
65118cea57fd4d7aac6fa667||117.4|96.01|122.2|74.48|587,8,0,1|time|60|-1|35|60|0|287.51|false|false|english|none|normal|false|false|false||1695649002000
65117778daab84819f7f8dc6||120.58|94.55|128.77|76.12|603,14,1,4|time|60|-1|28|60.01|0|172.12|false|false|english|none|normal|false|false|false||1695643512000
65114297daab84819f11f2f3||119.17|94.83|128.97|79.14|596,11,3,3|time|60|-1|6|60.01|0|17.3|false|false|english|none|normal|false|false|false||1695629975000
6510fcaadaab84819f801785||123.18|95.43|134.78|79.31|616,14,3,6|time|60|-1|0|60.01|0|0|false|false|english|none|normal|false|false|false||1695612074000
650ff2badaab84819f560f1a||119.79|95.66|127.99|78.01|599,15,2,6|time|60|-1|4|60|0|12.8|false|false|english|none|normal|false|false|false||1695543994000
650ff1eadaab84819f56098e||116.99|95.85|122.79|72.8|585,11,0,0|time|60|-1|15|60.01|0|136.97|false|false|english|none|normal|false|false|false||1695543786000
650fc2bddaab84819ff76113||107.99|94|113.99|73.36|540,5,2,3|time|60|-1|27|60.01|0|295.1|false|false|english|none|normal|false|false|false||1695531709000
650db99bdaab84819fba81bc||118.17|96.55|125.97|75.98|591,6,3,2|time|60|-1|13|60.01|0|120.05|false|false|english|none|normal|false|false|false||1695398299000
650db60edaab84819fb322a5||119.79|94.81|129.99|79.5|599,14,8,1|time|60|-1|13|60|0|94.36|false|false|english|none|normal|false|false|false||1695397390000
650db54edaab84819fb31816||110.59|92.3|124.59|77.07|553,22,4,5|time|60|-1|11|60|0|91.73|false|false|english|none|normal|false|false|false||1695397198000
650d80e6daab84819f44df99||122.19|97.82|126.79|74.86|611,5,0,1|time|60|-1|17|60|0|179.29|false|false|english|none|normal|false|false|false||1695383782000
650d5614daab84819fed70d9||121.39|94.09|129.99|81.22|607,17,5,1|time|60|-1|15|60.01|0|156.71|false|false|english|none|normal|false|false|false||1695372820000
650d54e8daab84819fed6820||121.17|96.41|125.37|77.04|606,6,1,2|time|60|-1|23|60.01|0|100.81|false|false|english|none|normal|false|false|false||1695372520000
650d531cdaab84819fe62d3c||117.59|96.02|121.99|74.82|588,7,0,6|time|60|-1|5|60|0|22.99|false|false|english|none|normal|false|false|false||1695372060000
650d0749daab84819f4d5fd6||112.98|94.51|119.18|74.88|565,7,1,1|time|60|-1|5|60.01|0|39.25|false|false|english|none|normal|false|false|false||1695352649000
650d0476daab84819f461f6b||121.58|97.64|126.18|76|608,4,2,0|time|60|-1|7|60.01|0|104.66|false|false|english|none|normal|false|false|false||1695351926000
650c5cf6daab84819fe7b735||127.99|98.19|131.99|80.28|640,4,1,1|time|60|-1|4|60|0|27.09|false|false|english|none|normal|false|false|false||1695309046000
650c5c8adaab84819fe7b154||108.19|92.67|119.79|74|541,19,2,4|time|60|-1|0|60|0|0|false|false|english|none|normal|false|false|false||1695308938000
650c5c4cdaab84819fe7add2||108.79|94.3|114.39|72.33|544,6,1,2|time|60|-1|21|60.01|0|174.29|false|false|english|none|normal|false|false|false||1695308876000
650c533ddaab84819fd1a8ce||124.2|96.08|129.2|79.94|621,7,1,2|time|60|-1|2|60|0|1.68|false|false|english|none|normal|false|false|false||1695306557000
650c52c2daab84819fd1a190||114.17|93.52|127.77|76.65|571,18,5,3|time|60|-1|9|60.01|0|94.02|false|false|english|none|normal|false|false|false||1695306434000
650c521ddaab84819fd19824||119.19|94.11|130.99|82.73|596,13,10,1|time|60|-1|2|60|0|9|false|false|english|none|normal|false|false|false||1695306269000
650c35cedaab84819f96cdfd|true|128.59|97.2|132.99|76.15|643,5,1,0|time|60|-1|5|60|0|65.24|false|false|english|none|normal|false|false|false||1695299022000
650bbe9bdaab84819f9f695a||124.99|96.31|134.98|80.59|625,12,1,4|time|60|-1|4|60.01|0|31.77|false|false|english|none|normal|false|false|false||1695268507000
650bb4dbdaab84819f89a2fa||117.79|95.81|127.19|82.17|589,12,0,3|time|60|-1|7|60.01|0|74.9|false|false|english|none|normal|false|false|false||1695266011000
650bb448daab84819f899eba||117.18|95.55|123.18|76.41|586,10,1,1|time|60|-1|3|60.01|0|8.44|false|false|english|none|normal|false|false|false||1695265864000
650b2e6adaab84819f750b6d||121.18|97.16|125.98|76.6|606,8,1,1|time|60|-1|1|60.01|0|19.14|false|false|english|none|normal|false|false|false||1695231594000
650b2e0bdaab84819f750625||113.37|95.48|123.17|78.22|567,15,1,5|time|60|-1|2|60.02|0|4.45|false|false|english|none|normal|false|false|false||1695231499000
650b2db5daab84819f750126||107.59|94.49|116.18|75.23|538,10,1,2|time|60|-1|3|60.01|0|67.92|false|false|english|none|normal|false|false|false||1695231413000
650b2d30daab84819f74f9eb||110.77|95.7|118.57|76.44|554,7,4,1|time|60|-1|2|60.01|0|46.54|false|false|english|none|normal|false|false|false||1695231280000
650ae412daab84819fdab6eb||119.79|94.59|132.19|80.42|599,17,4,2|time|60|-1|10|60|0|53.88|false|false|english|none|normal|false|false|false||1695212562000
650ae368daab84819fdab041||124.79|95.81|132.98|80.5|624,14,3,2|time|60|-1|3|60.01|0|5.88|false|false|english|none|normal|false|false|false||1695212392000
650ae305daab84819fdaac65||117.38|94.68|125.18|76.13|587,13,1,5|time|60|-1|11|60.01|0|121.63|false|false|english|none|normal|false|false|false||1695212293000
650acfe6daab84819faf0e82||117.77|96.62|121.97|75.19|589,7,0,1|time|60|-1|0|60.02|0|0|false|false|english|none|normal|false|false|false||1695207398000
650acfa5daab84819faf0ce2||121.39|94.7|130.79|79.14|607,18,3,1|time|60|-1|0|60|0|0|false|false|english|none|normal|false|false|false||1695207333000
650acc6fdaab84819fa7cc52||117.2|95.85|121.79|82.32|586,4,4,0|time|60|-1|5|60|0|41.02|false|false|english|none|normal|false|false|false||1695206511000
650acb9fdaab84819fa7c667||116.59|93.93|125.39|75.66|583,18,2,1|time|60|-1|9|60|0|28.55|false|false|english|none|normal|false|false|false||1695206303000
650aae00daab84819f6d97c9||111.57|93.81|122.97|75.94|558,13,4,1|time|60|-1|5|60.01|0|47.05|false|false|english|none|normal|false|false|false||1695198720000
650aad12daab84819f666770||111.2|93.41|120.99|78.5|556,14,4,1|time|60|-1|5|60|0|66.44|false|false|english|none|normal|false|false|false||1695198482000
650aac72daab84819f666237||119|94.94|127.4|77.56|595,11,2,3|time|60|-1|17|60|0|137.21|false|false|english|none|normal|false|false|false||1695198322000
650a6ab8daab84819fe01546||119.59|95.77|125.79|82.41|598,10,2,2|time|60|-1|8|60.01|0|45.4|false|false|english|none|normal|false|false|false||1695181496000
650a6a26daab84819fdc7d95||122.38|95.36|127.38|76.17|612,12,4,0|time|60|-1|15|60.01|0|186.58|false|false|english|none|normal|false|false|false||1695181350000
650a58cddaab84819fb83da0||115.18|94.43|121.78|73.18|576,13,1,0|time|60|-1|2|60.01|0|14.47|false|false|english|none|normal|false|false|false||1695176909000
650a5863daab84819fb83acb||122.19|96.45|128.39|80.69|611,11,2,1|time|60|-1|5|60.01|0|82.14|false|false|english|none|normal|false|false|false||1695176803000
650a5795daab84819fb835a4||113|93.44|126.19|76.49|565,19,5,4|time|60|-1|3|60|0|29.42|false|false|english|none|normal|false|false|false||1695176597000
650a5709daab84819fb831cc||122.38|96.6|127.78|75.4|612,7,2,3|time|60|-1|2|60.01|0|61.01|false|false|english|none|normal|false|false|false||1695176457000
650a568ddaab84819fb82e38||115.59|96.04|124.99|75.03|578,12,0,1|time|60|-1|2|60.01|0|44.44|false|false|english|none|normal|false|false|false||1695176333000
6509e0efdaab84819fc11567||107.8|93.83|116.6|72.19|539,13,3,1|time|60|-1|10|60|0|23.85|false|false|english|none|normal|false|false|false||1695146223000
6509e074daab84819fc10f33||106.58|95.55|114.78|67.58|533,11,0,1|time|60|-1|21|60.01|0|207.23|false|false|english|none|normal|false|false|false||1695146100000
6509c54bdaab84819f865f10||110.39|94.68|115.59|71.7|552,7,1,1|time|60|-1|6|60|0|37.29|false|false|english|none|normal|false|false|false||1695139147000
6509c41fdaab84819f864e94||113.79|93.62|126.39|79.2|569,20,3,2|time|60|-1|7|60.01|0|64.32|false|false|english|none|normal|false|false|false||1695138847000
6509c398daab84819f8646da||115.38|93.64|126.98|79.02|577,23,3,2|time|60|-1|7|60.01|0|43.48|false|false|english|none|normal|false|false|false||1695138712000
6509c229daab84819f863205||109.99|92.83|117.39|70.61|550,11,3,2|time|60|-1|3|60|0|30.62|false|false|english|none|normal|false|false|false||1695138345000
6509c189daab84819f7f0192||119.19|94.27|125.39|77.67|596,12,4,1|time|60|-1|11|60|0|40.19|false|false|english|none|normal|false|false|false||1695138185000
6509a146b3a5cd15267436d4||113.18|94.31|119.78|73.42|566,12,3,1|time|60|-1|7|60.01|0|75.07|false|false|english|none|normal|false|false|false||1695129926000
6509a0b2b3a5cd1526742ee9||117.19|93.34|128.79|78.11|586,15,4,1|time|60|-1|12|60|0|185.61|false|false|english|none|normal|false|false|false||1695129778000
6509962ab3a5cd15265e375b||115.77|94.93|123.97|76.68|579,10,4,0|time|60|-1|28|60.01|0|190.56|false|false|english|none|normal|false|false|false||1695127082000
65093049b3a5cd15268b9f72||119.99|97.45|124.19|78.11|600,6,0,1|time|60|-1|7|60|0|73.16|false|false|english|none|normal|false|false|false||1695101001000
65092783b3a5cd15267d15ab||103.78|94.47|112.78|76.69|519,10,1,2|time|60|-1|4|60.01|0|20.85|false|false|english|none|normal|false|false|false||1695098755000
65091c59b3a5cd1526602b92||116.17|95.08|123.37|77.56|581,11,1,4|time|60|-1|16|60.01|0|189.99|false|false|english|none|normal|false|false|false||1695095897000
65090a5bb3a5cd15263be8db||115.19|92.76|127.39|78.68|576,20,5,3|time|60|-1|11|60|0|77.65|false|false|english|none|normal|false|false|false||1695091291000
65090534b3a5cd1526349e3a||110.79|95.52|118.59|76.64|554,11,0,3|time|60|-1|24|60.01|0|149.63|false|false|english|none|normal|false|false|false||1695089972000
65090351b3a5cd15262d6b3c||115.39|95.92|120.59|76.15|577,9,1,1|time|60|-1|3|60.01|0|31.9|false|false|english|none|normal|false|false|false||1695089489000
65087330b3a5cd15260329fa||115.58|93.47|127.58|78.51|578,22,6,3|time|60|-1|0|60.01|0|0|false|false|english|none|normal|false|false|false||1695052592000
650872a3b3a5cd1526032215||116.37|93.25|124.57|76.92|582,17,4,3|time|60|-1|0|60.02|0|0|false|false|english|none|normal|false|false|false||1695052451000
65087265b3a5cd1526031ebf||110.19|95.9|113.99|75.33|551,5,2,1|time|60|-1|6|60.01|0|23.67|false|false|english|none|normal|false|false|false||1695052389000
650871d1b3a5cd15260316e4||111.59|94.83|122.19|76.29|558,13,3,3|time|60|-1|7|60.01|0|91.68|false|false|english|none|normal|false|false|false||1695052241000
65086bb9b3a5cd1526f4762b||117.18|94.87|127.18|78.24|586,14,5,6|time|60|-1|4|60.01|0|27.18|false|false|english|none|normal|false|false|false||1695050681000
650866abb3a5cd1526ed0827||120.99|94.1|130.99|79.47|605,20,5,1|time|60|-1|42|60|0|449.44|false|false|english|none|normal|false|false|false||1695049387000
650852a0b3a5cd1526c11553||120.98|96.87|125.98|77.46|605,6,1,1|time|60|-1|7|60.01|0|132.52|false|false|english|none|normal|false|false|false||1695044256000
650850e2b3a5cd1526bd6a93||122.4|94.84|130.2|78.36|612,18,3,1|time|60|-1|4|60|0|41.5|false|false|english|none|normal|false|false|false||1695043810000
65085039b3a5cd1526b9cfc2||113.78|94.43|123.38|77.29|569,9,8,2|time|60|-1|6|60.01|0|79.52|false|false|english|none|normal|false|false|false||1695043641000
650843cdb3a5cd1526a3cb7e||110.39|94.93|115.39|77.91|552,10,1,0|time|60|-1|18|60.01|0|130.7|false|false|english|none|normal|false|false|false||1695040461000
65083f92b3a5cd15269c7752||112.76|93.78|123.56|77.53|564,16,7,3|time|60|-1|8|60.02|0|72.36|false|false|english|none|normal|false|false|false||1695039378000
650836f3b3a5cd152686b6a9||115.58|94.77|124.58|78.14|578,12,5,3|time|60|-1|53|60.01|0|491.31|false|false|english|none|normal|false|false|false||1695037171000
650829b5b3a5cd152669b6c8||115.17|95.18|122.37|78.36|576,14,2,0|time|60|-1|8|60.02|0|53.64|false|false|english|none|normal|false|false|false||1695033781000
650565afb3a5cd1526bc5511||106.99|95.88|114.79|76.75|535,8,1,3|time|60|-1|29|60|0|189.92|false|false|english|none|normal|false|false|false||1694852527000
65056066b3a5cd1526adf144|true|125.99|98.3|128.79|81.5|630,4,0,1|time|60|-1|12|60|0|110.07|false|false|english|none|normal|false|false|false||1694851174000
65041730b3a5cd15260c780f||114.39|95.91|119.19|74.61|572,9,0,1|time|60|-1|6|60|0|43.66|false|false|english|none|normal|false|false|false||1694766896000
6503bbd6b3a5cd152650c47c||104.58|94.26|110.98|74.35|523,8,0,3|time|60|-1|6|60.01|0|21.87|false|false|english|none|normal|false|false|false||1694743510000
6503bb71b3a5cd152650c1e4||101.79|94.11|113.39|77.13|509,17,1,1|time|60|-1|1|60|0|5.72|false|false|english|none|normal|false|false|false||1694743409000
6503bb2cb3a5cd152650c022||102.59|95|110.19|73.42|513,10,4,2|time|60|-1|4|60.01|0|29.28|false|false|english|none|normal|false|false|false||1694743340000
6503ba4fb3a5cd1526499ba6||109.99|95.9|114.79|79.1|550,8,1,2|time|60|-1|2|60|0|18.5|false|false|english|none|normal|false|false|false||1694743119000
65031f31b3a5cd15260a9727||113.19|95.97|116.99|72.32|566,9,0,7|time|60|-1|5|60|0|12.37|false|false|english|none|normal|false|false|false||1694703409000
65031e7db3a5cd15260a8cd2||116.4|96.62|122.2|77.77|582,8,0,2|time|60|-1|2|60|0|15.84|false|false|english|none|normal|false|false|false||1694703229000
65031df1b3a5cd15260a8531||106.79|93.53|113.59|74.68|534,12,1,4|time|60|-1|3|60|0|16.19|false|false|english|none|normal|false|false|false||1694703089000
65031d97b3a5cd15260a804b||120.2|96.38|125.4|78.85|601,8,3,1|time|60|-1|9|60|0|83.12|false|false|english|none|normal|false|false|false||1694702999000
65031cb7b3a5cd15260a7416||110.6|95.96|115.8|74.2|553,6,1,2|time|60|-1|7|60|0|76.91|false|false|english|none|normal|false|false|false||1694702775000
6502fb0cb3a5cd1526c194ff||108.19|96.21|112.79|75.76|541,6,0,1|time|60|-1|5|60.01|0|50.6|false|false|english|none|normal|false|false|false||1694694156000
